store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,year,month,day,sales
415,7,0,0,0,0,0,2015,3,1,0.0
27,7,0,0,0,0,0,2013,12,29,0.0
404,3,657,1,1,0,0,2014,3,19,6605.8105
683,2,862,1,0,0,0,2013,1,29,6659.6978
920,3,591,1,1,0,0,2014,3,19,5904.7437
758,4,569,1,0,0,0,2014,6,26,4883.043
563,1,321,1,1,0,0,2015,2,16,3864.3884
930,6,1367,1,0,0,0,2014,11,22,6380.8066
756,4,0,0,1,1,0,2015,6,4,0.0
49,2,546,1,1,0,0,2015,1,13,7135.0967
787,4,968,1,0,0,1,2015,7,23,8281.127
782,4,472,1,0,0,0,2013,9,19,4244.7793
897,7,0,0,0,0,0,2014,4,20,0.0
933,1,965,1,0,0,0,2013,12,9,7816.0425
218,2,804,1,0,0,1,2015,4,7,6572.8696
554,3,499,1,1,0,1,2013,10,9,5149.2715
362,1,1337,1,1,0,1,2013,8,12,10811.622
655,3,560,1,0,0,0,2014,4,9,4979.158
785,3,461,1,0,0,1,2014,12,31,4028.1814
690,3,866,1,1,0,0,2014,3,19,8107.867
1103,7,0,0,0,0,0,2015,2,15,0.0
431,1,1367,1,1,0,0,2014,6,2,11822.325
127,2,642,1,1,0,0,2013,9,24,6291.1694
579,5,0,0,1,2,1,2013,3,29,0.0
248,6,1139,1,0,0,0,2013,8,3,7631.645
962,6,0,0,0,0,0,2014,1,11,0.0
224,2,515,1,1,0,1,2013,3,26,5757.6416
208,3,355,1,1,0,1,2013,6,19,3838.2139
401,1,1063,1,1,0,0,2015,3,30,11632.962
503,7,0,0,0,0,0,2013,9,29,0.0
221,4,562,1,1,0,0,2015,3,5,5998.061
268,7,0,0,0,0,0,2014,11,2,0.0
799,2,927,1,1,0,1,2013,8,27,8693.509
260,6,894,1,0,0,0,2014,10,25,6317.9004
1041,2,594,1,0,0,0,2015,3,10,5006.2373
350,2,533,1,1,0,0,2013,6,18,5779.5015
286,7,0,0,0,0,0,2015,4,5,0.0
620,2,709,1,1,0,0,2013,6,4,7097.9165
521,1,484,1,1,0,0,2013,6,17,5503.3687
649,4,435,1,1,0,0,2014,11,27,4951.0483
1059,2,1239,1,1,0,0,2015,6,2,11227.306
486,6,373,1,0,0,0,2014,6,28,3296.8293
252,4,642,1,0,0,0,2013,10,17,5715.1753
656,3,421,1,1,0,0,2013,5,15,4330.9414
642,5,394,1,0,0,0,2014,9,12,3532.637
655,5,761,1,1,0,0,2015,5,8,7583.538
992,3,627,1,0,0,0,2013,6,26,5201.1904
143,2,731,1,1,0,0,2015,6,2,7854.18
421,5,941,1,1,0,1,2014,7,18,8197.186
246,4,1157,1,1,0,0,2014,10,2,9882.316
960,1,720,1,1,0,0,2014,4,28,7333.4233
313,5,697,1,0,0,0,2014,1,17,6426.955
291,6,534,1,0,0,0,2013,6,29,5211.472
